"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00506870","1950-06","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","0.0","0","0.0",",0","12",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","12",",0","0",",0","","","19500604","+,,0","19500630","+,,0","19500629",",,0","","","19500630",",,0","19500628",",,0","1.7",",0,04,+","0",",,0,30,+","0",",T,0,29,","11.4",",,0,30,","25.6",",0,28,","","","","","165.7",",0","","","","","28.7",",,,0","0",",T,,0","12.81",",0","18.93",",,,0","6.68",",,,0","","","",""
"USC00506870","1950-07","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","0.0","0","0.0",",0","14",",0","7",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","9",",0","0",",0","","","19500727","+,,0","19500731","+,,0","19500731","+,,0","2","","19500724",",,0","19500709",",,0","5.6",",0,27,+","0",",,0,31,+","0",",,0,31,+","12.4",",,0,24,","25.0",",0,09,","","","144.1","0","144.1",",0","","","","","52.0",",,,0","0",",,,0","13.68",",0","18.77",",,,0","8.59",",,,0","","","",""
"USC00506870","1950-08","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","1.4","0","1.4",",0","7",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","17",",0","0",",0","1","","19500829",",,0","19500831","+,,0","19500831","+,,0","","","19500804","+,,0","19500814","+,,0","5.0",",0,29,","0",",,0,31,+","0",",,0,31,+","10.7",",,0,04,+","26.7",",0,14,+","","","256.5","0","112.4",",0","","","","","29.6",",,,0","0",",,,0","14.75",",0","20.61",",,,0","8.90",",,,0","","","",""
"USC00506870","1950-09","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","1.4","0","0.0",",0","10",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","1","","19500915","+,,0","19500930","+,,0","19500930","+,,0","","","19500905",",,0","19500904",",,0","1.1",",0,15,+","0",",,0,30,+","0",",,0,30,+","8.4",",,0,05,","18.3",",0,04,","","","531.3","0","274.8",",0","","","","","24.1",",,,0","0",",,,0","9.17",",0","13.70",",,,0","4.65",",,,0","","","",""
"USC00506870","1950-10","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","1.4","0","0.0",",0","5",",0","2",",0","0",",0","0",",0","2",",0","0",",0","23",",0","6",",0","0",",0","0",",0","4","","19501029",",,0","19501030","+,,0","19501011",",,0","","","19501011",",,0","19501003",",,0","-15.6",",0,29,","0",",T,0,30,+","41",",,0,11,","6.4",",,0,11,","14.4",",0,03,","","","1064.9","0","533.6",",0","","","","","14.1",",,,0","77",",,,0","1.12",",0","5.14",",,,0","-2.90",",,,0","","","",""
"USC00506870","1950-11","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","1.4","0","0.0",",0","2",",0","1",",0","0",",0","","","0","5,0","8",",0","30",",0","25",",0","0",",0","0",",0","","","19501119",",,0","","","19501130","+,5,0","","","19501111",",,0","19501111",",,0","-22.2",",0,19,","","","0","5,T,0,30,+","4.1",",,0,11,","6.7",",0,11,","","","1899.9","0","835.0",",0","","","","","4.6",",,,0","0","5,T,,0","-9.50",",0","-4.98",",,,0","-14.02",",,,0","","","",""
"USC00506870","1950-12","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","1.4","0","0.0","1,0","9",",0","4",",0","0",",0","31",",0","7",",0","7","1,0","29","1,0","28",",0","0",",0","0",",0","","","19501207",",1,0","19501231",",,0","19501231","+,,0","","","19501204",",,0","19501226",",,0","-25.0","1,0,07,","229",",,0,31,","76",",,0,31,+","12.2",",,0,04,","4.4",",0,26,","","","2748.0","0","848.1",",0","","","","","34.6",",,,0","400",",,,0","-9.95","1,0","-6.09",",,,0","-13.80","1,,,0","","","",""
"USC00506870","1951-01","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","0.0","0","0.0","2,0","10",",0","5",",0","0",",0","","","9",",0","12","2,0","29","2,0","26","2,0","0","2,0","0","2,0","","","19510118",",2,0","","","19510109",",,0","","","19510109",",,0","19510108",",2,0","-33.9","2,0,18,","","","152",",,0,09,","9.4",",,0,09,","3.9","2,0,08,","","","3686.6","0","938.6","2,0","","","","","39.4",",,,0","652",",,,0","-14.03","2,0","-10.55","2,,,0","-17.51","2,,,0","","","",""
"USC00506870","1951-02","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","0.0","0","0.0",",0","10",",0","3",",0","0",",0","28",",0","6",",0","13",",0","28",",0","22",",0","0",",0","0",",0","1","","19510208",",,0","19510220",",,0","19510201",",,0","","","19510201",",,0","19510222",",,0","-30.6",",0,08,","152",",,0,20,","127",",,0,01,","5.1",",,0,01,","6.1",",0,22,","","","4502.0","0","815.4",",0","","","","","20.6",",,,0","433",",,,0","-10.79",",0","-5.45",",,,0","-16.12",",,,0","","","",""
"USC00506870","1951-03","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","0.0","0","0.0","3,0","1",",0","1",",0","0",",0","29",",0","1",",0","15","3,0","28","3,0","19","2,0","0","2,0","0","2,0","","","19510309",",3,0","19510301",",,0","19510320",",,0","","","19510320",",,0","19510328","+,2,0","-24.4","3,0,09,","127",",,0,01,","102",",,0,20,","6.6",",,0,20,","10.0","2,0,28,+","","","5234.9","0","732.9","2,0","","","","","6.6",",,,0","102",",,,0","-8.01","3,0","-1.60","2,,,0","-14.43","3,,,0","","","",""
"USC00506870","1951-04","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","0.0","0","0.0",",0","5",",0","3",",0","0",",0","0",",0","2",",0","0",",0","19",",0","0",",0","0",",0","0",",0","1","","19510410","+,,0","19510411","+,,0","19510430","+,,0","","","19510430",",,0","19510420","+,,0","-5.6",",0,10,+","0",",T,0,11,+","25",",,0,30,+","10.7",",,0,30,","15.6",",0,20,+","","","5656.4","0","421.5",",0","","","","","21.1",",,,0","50",",,,0","4.28",",0","9.11",",,,0","-0.55",",,,0","","","",""
"USC00506870","1951-05","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","0.0","0","0.0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","5",",0","0",",0","1",",0","0",",0","","","19510505",",,0","19510531","+,,0","19510531","+,,0","","","19510528","+,,0","19510506",",,0","-2.2",",0,05,","0",",,0,31,+","0",",,0,31,+","0.0",",T,0,28,+","21.1",",0,06,","","","5934.9","0","278.5",",0","","","","","0.0",",T,,0","0",",,,0","9.35",",0","15.50",",,,0","3.20",",,,0","","","",""
"USC00506870","1951-06","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","","","","","8",",0","5",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","19510630","+,,0","19510630","+,,0","","","19510624",",,0","","","","","0",",,0,30,+","0",",,0,30,+","16.5",",,0,24,","","","","","","","","","","","","","50.6",",,,0","0",",,,0","","","","","","","","","",""
"USC00506870","1951-07","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","","","4.8",",0","12",",0","7",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","16",",0","0",",0","","","19510731",",,0","19510731","+,,0","19510731","+,,0","1","","19510730",",,0","19510712",",,0","5.0",",0,31,","0",",,0,31,+","0",",,0,31,+","15.5",",,0,30,","28.9",",0,12,","","","85.6","0","85.6",",0","","","","","61.4",",,,0","0",",,,0","15.73",",0","21.88",",,,0","9.57",",,,0","","","",""
"USC00506870","1951-08","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","","","0.0",",0","16",",0","9",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","5",",0","0",",0","","","19510824","+,,0","19510831","+,,0","19510831","+,,0","1","","19510826",",,0","19510812",",,0","3.3",",0,24,+","0",",,0,31,+","0",",,0,31,+","11.4",",,0,26,","22.8",",0,12,","","","248.9","0","163.3",",0","","","","","58.9",",,,0","0",",,,0","13.06",",0","17.79",",,,0","8.34",",,,0","","","",""
"USC00506870","1951-09","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","","","0.0",",0","14",",0","7",",0","1",",0","0",",0","0",",0","0",",0","5",",0","0",",0","0",",0","0",",0","","","19510929",",,0","19510930","+,,0","19510930","+,,0","","","19510904",",,0","19510902",",,0","-3.9",",0,29,","0",",,0,30,+","0",",,0,30,+","34.3",",,0,04,","18.3",",0,02,","","","533.6","0","284.7",",0","","","","","99.8",",,,0","0",",,,0","8.84",",0","13.18",",,,0","4.50",",,,0","","","",""
"USC00506870","1951-10","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","","","0.0",",0","8",",0","5",",0","0",",0","","","2","1,0","0",",0","28",",0","2",",0","0",",0","0",",0","","","19511023","+,,0","","","19511028",",1,0","","","19511001",",,0","19511002",",,0","-11.7",",0,23,+","","","76","1,,0,28,","16.3",",,0,01,","11.1",",0,02,","","","1119.9","0","586.3",",0","","","","","38.1",",,,0","101","1,,,0","-0.58",",0","4.06",",,,0","-5.22",",,,0","","","",""
"USC00506870","1951-11","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","","","0.0",",0","8",",0","2",",0","0",",0","4",",0","1",",0","4",",0","28",",0","15",",0","0",",0","0",",0","6","","19511118",",,0","19511123",",,0","19511123",",,0","","","19511101",",,0","19511102",",,0","-23.9",",0,18,","51",",,0,23,","51",",,0,23,","7.6",",,0,01,","10.0",",0,02,","","","1816.0","0","696.1",",0","","","","","17.6",",,,0","51",",,,0","-4.87",",0","-1.52",",,,0","-8.22",",,,0","","","",""
"USC00506870","1951-12","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","","","0.0",",0","12",",0","3",",0","0",",0","31",",0","8",",0","15",",0","31",",0","29",",0","0",",0","0",",0","4","","19511207",",,0","19511223","+,,0","19511203",",,0","","","19511203",",,0","19511211",",,0","-32.8",",0,07,","203",",,0,23,+","76",",,0,03,","5.6",",,0,03,","2.2",",0,11,","","","2787.6","0","971.6",",0","","","","","22.9",",,,0","360",",,,0","-13.01",",0","-8.66",",,,0","-17.35",",,,0","","","",""
"USC00506870","1952-01","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","0.0","0","0.0",",0","5",",0","3",",0","0",",0","31",",0","3",",0","21",",0","31",",0","30",",0","0",",0","0",",0","","","19520108",",,0","19520116",",,0","19520112",",,0","","","19520112",",,0","19520103",",,0","-31.7",",0,08,","508",",,0,16,","406",",,0,12,","18.5",",,0,12,","1.1",",0,03,","","","3830.4","0","1042.8",",0","","","","","40.6",",,,0","559",",,,0","-15.30",",0","-10.02",",,,0","-20.59",",,,0","","","",""
"USC00506870","1952-02","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","0.0","0","0.0",",0","4",",0","2",",0","0",",0","29",",0","2",",0","7",",0","29",",0","15",",0","0",",0","0",",0","1","","19520217","+,,0","19520225",",,0","19520225",",,0","","","19520225",",,0","19520228",",,0","-23.3",",0,17,+","127",",,0,25,","76",",,0,25,","5.6",",,0,25,","6.7",",0,28,","","","4547.9","0","717.5",",0","","","","","9.0",",,,0","127",",,,0","-6.41",",0","-1.51",",,,0","-11.30",",,,0","","","",""
"USC00506870","1952-03","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","0.0","0","0.0",",0","6",",0","2",",0","0",",0","31",",0","5",",0","2",",0","30",",0","12",",0","0",",0","0",",0","1","","19520329",",,0","19520309","+,,0","19520308","+,,0","","","19520308",",,0","19520321",",,0","-21.1",",0,29,","127",",,0,09,+","51",",,0,08,+","3.6",",,0,08,","6.7",",0,21,","","","5244.6","0","696.7",",0","","","","","12.3",",,,0","190",",,,0","-4.14",",0","0.97",",,,0","-9.25",",,,0","","","",""
"USC00506870","1952-04","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","0.0","0","0.0",",0","1",",0","1",",0","0",",0","9",",0","1",",0","0",",0","24",",0","0",",0","0",",0","0",",0","","","19520404",",,0","19520406","+,,0","19520424",",,0","","","19520424",",,0","19520427",",,0","-13.9",",0,04,","51",",,0,06,+","64",",,0,24,","3.8",",,0,24,","10.6",",0,27,","","","5744.3","0","499.7",",0","","","","","3.8",",,,0","64",",,,0","1.68",",0","6.50",",,,0","-3.15",",,,0","","","",""
"USC00506870","1952-05","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","0.0","0","0.0","1,0","7",",0","3",",0","0",",0","0",",0","0",",0","0","1,0","15","1,0","0",",0","0",",0","0",",0","","","19520501",",1,0","19520531","+,,0","19520506","+,,0","","","19520520",",,0","19520527",",,0","-5.0","1,0,01,","0",",,0,31,+","13",",,0,06,+","3.3",",,0,20,","17.8",",0,27,","","","6101.4","0","357.1",",0","","","","","12.0",",,,0","29",",,,0","6.50","1,0","12.11",",,,0","0.90","1,,,0","","","",""
"USC00506870","1952-06","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","","","","","6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","","","","","","","","","19520606",",,0","19520630","+,,0","19520630","+,,0","1","","19520623",",,0","","","1.7",",0,06,","0",",,0,30,+","0",",,0,30,+","7.4",",,0,23,","","","","","","","","","","","","","11.0",",,,0","0",",,,0","","","","","6.82",",,,0","","","",""
"USC00506870","1952-07","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","","","0.5","2,0","13","3,0","9","3,0","0","3,0","0",",0","0",",0","0","2,0","0","2,0","0","2,0","12","2,0","0","2,0","","","19520705",",2,0","19520731","+,,0","19520731","+,,0","","","19520730",",3,0","19520720",",2,0","6.7","2,0,05,","0",",,0,31,+","0",",,0,31,+","11.4","3,,0,30,","27.2","2,0,20,","","","106.2","0","106.2","2,0","","","","","58.7",",a,,0","0",",,,0","14.69","2,0","19.82","2,,,0","9.55","2,,,0","","","",""
"USC00506870","1952-08","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","","","0.0",",0","12",",0","8",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","2",",0","0",",0","1","","19520827",",,0","19520831","+,,0","19520831","+,,0","","","19520822",",,0","19520813","+,,0","0.0",",0,27,","0",",,0,31,+","0",",,0,31,+","17.3",",,0,22,","21.1",",0,13,+","","","286.9","0","180.7",",0","","","","","82.0",",,,0","0",",,,0","12.50",",0","18.14",",,,0","6.87",",,,0","","","",""
"USC00506870","1952-09","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","","","0.0",",0","12",",0","8",",0","1",",0","0",",0","0",",0","0",",0","3",",0","0",",0","0",",0","0",",0","1","","19520907","+,,0","19520930","+,,0","19520930","+,,0","","","19520901",",,0","19520926",",,0","-1.7",",0,07,+","0",",,0,30,+","0",",,0,30,+","29.0",",,0,01,","18.9",",0,26,","","","578.7","0","291.8",",0","","","","","84.0",",,,0","0",",,,0","8.61",",0","13.92",",,,0","3.29",",,,0","","","",""
"USC00506870","1952-10","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","","","0.0",",0","17",",0","13",",0","1",",0","11",",0","4",",0","0",",0","15",",0","1",",0","0",",0","0",",0","","","19521024","+,,0","19521027","+,,0","19521019",",,0","","","19521026",",,0","19521003",",,0","-8.9",",0,24,+","76",",,0,27,+","76",",,0,19,","31.8",",,0,26,","15.6",",0,03,","","","1023.2","0","444.5",",0","","","","","99.2",",,,0","216",",,,0","4.00",",0","7.70",",,,0","0.29",",,,0","","","",""
"USC00506870","1952-11","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","","","0.0","1,0","16",",0","9",",0","0",",0","9",",0","6",",0","0",",0","21",",0","5","1,0","0","1,0","0","1,0","","","19521130",",,0","19521119",",,0","19521103",",,0","","","19521110",",,0","19521123",",1,0","-11.7",",0,30,","102",",,0,19,","64",",,0,03,","13.0",",,0,10,","10.6","1,0,23,","","","1525.2","0","502.0","1,0","","","","","53.1",",,,0","267",",,,0","1.03","1,0","4.13","1,,,0","-2.07",",,,0","","","",""
"USC00506870","1952-12","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","","","0.0",",0","7",",0","3",",0","0",",0","15",",0","4",",0","7",",0","28",",0","19",",0","0",",0","0",",0","","","19521203","+,,0","19521216",",,0","19521216",",,0","","","19521217",",,0","19521224",",,0","-21.7",",0,03,+","178",",,0,16,","114",",,0,16,","6.1",",,0,17,","7.2",",0,24,","","","2304.6","0","779.4",",0","","","","","22.4",",,,0","241",",,,0","-6.81",",0","-3.01",",,,0","-10.61",",,,0","","","",""
"USC00506870","1953-01","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","0.0","0","0.0","2,0","1",",0","1",",0","0",",0","7","2,0","1",",0","13","2,0","29","2,0","25","2,0","0","2,0","0","2,0","","","19530124",",2,0","19530124","+,2,0","19530122",",,0","","","19530122",",,0","19530105",",2,0","-28.9","2,0,24,","51","2,,0,24,+","38",",,0,22,","2.8",",,0,22,","6.7","2,0,05,","","","3190.2","0","885.6","2,0","","","","","2.8",",,,0","38",",,,0","-12.20","2,0","-7.39","2,,,0","-17.02","2,,,0","","","",""
"USC00506870","1953-02","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","0.0","0","0.0",",0","8",",0","6",",0","0",",0","27",",0","7",",0","8",",0","27",",0","11",",0","0",",0","0",",0","","","19530205",",,0","19530227","+,,0","19530226",",,0","","","19530226",",,0","19530214",",,0","-28.9",",0,05,","229",",,0,27,+","152",",,0,26,","10.4",",,0,26,","6.7",",0,14,","","","3857.5","0","667.3",",0","","","","","39.2",",,,0","456",",,,0","-5.50",",0","-0.19",",,,0","-10.81",",,,0","","","",""
"USC00506870","1953-03","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","0.0","0","0.0","1,0","4",",0","4",",0","0",",0","31",",0","4",",0","5","1,0","30","1,0","11","1,0","0","1,0","0","1,0","","","19530311",",1,0","19530307","+,,0","19530328",",,0","","","19530306",",,0","19530329",",1,0","-25.0","1,0,11,","152",",,0,07,+","64",",,0,28,","4.8",",,0,06,","9.4","1,0,29,","","","4557.1","0","699.6","1,0","","","","","15.2",",,,0","204",",,,0","-4.99","1,0","1.54","1,,,0","-11.51","1,,,0","","","",""
"USC00506870","1953-04","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","","","","","3",",0","1",",0","0",",0","9",",0","3",",0","","","","","","","","","","","","","","","19530401",",,0","19530415",",,0","","","19530415",",,0","","","","","102",",,0,01,","51",",,0,15,","2.8",",,0,15,","","","","","","","","","","","","","5.6",",,,0","101",",,,0","","","","","","","","","",""
"USC00506870","1953-05","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","","","0.0",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","5",",0","0",",0","1",",0","0",",0","","","19530502",",,0","19530531","+,,0","19530531","+,,0","","","19530528",",,0","19530530",",,0","-1.7",",0,02,","0",",,0,31,+","0",",,0,31,+","7.1",",,0,28,","22.2",",0,30,","","","","","292.8",",0","","","","","8.9",",,,0","0",",,,0","8.89",",0","15.06",",,,0","2.72",",,,0","","","",""
"USC00506870","1953-06","61.5888","-149.0992","65.8","PALMER JOB CORPS, AK US","","","8.9","1,0","2",",0","1",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0","1,0","15","1,0","0","1,0","","","19530613",",1,0","19530630","+,,0","19530630","+,,0","","","19530606",",,0","19530626","+,1,0","2.8","1,0,13,","0",",,0,30,+","0",",,0,30,+","3.8",",,0,06,","30.6","1,0,26,+","","","","","99.5","1,0","","","","","5.1",",,,0","0",",,,0","15.21","1,0","22.18","1,,,0","8.23","1,,,0","","","",""
