"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00116344","2002-09","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","8",",0","3",",0","0",",0","0",",0","0",",0","","","","","","","","","","","15","","","","20020930","+,,0","20020930","+,,0","1","","20020921",",,0","","","","","0",",,0,30,+","0",",,0,30,+","15.2",",,0,21,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.2",",,,0","0",",,,0","","","","","","","","","",""
"USC00116344","2002-10","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","9",",0","6",",0","0",",0","0",",0","0",",0","","","","","","","","","","","8","","","","20021031","+,,0","20021031","+,,0","1","","20021019",",,0","","","","","0",",,0,31,+","0",",,0,31,+","21.1",",,0,19,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.6",",,,0","0",",,,0","","","","","","","","","",""
"USC00116344","2002-11","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","8",",0","5",",0","0",",0","0",",0","0",",0","","","","","","","","","","","4","","","","20021127","+,,0","20021125",",,0","2","","20021106",",,0","","","","","0",",T,0,27,+","5",",,0,25,","8.1",",,0,06,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.0",",,,0","8",",,,0","","","","","","","","","",""
"USC00116344","2002-12","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","6",",0","4",",0","0",",0","6",",0","1",",0","","","","","","","","","","","9","","","","20021226","+,,0","20021225",",,0","2","","20021219",",,0","","","","","127",",,0,26,+","122",",,0,25,","14.7",",,0,19,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.7",",,,0","122",",,,0","","","","","","","","","",""
"USC00116344","2003-01","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","8",",0","2",",0","0",",0","21",",0","4",",0","","","","","","","","","","","4","","","","20030103",",,0","20030103",",,0","","","20030103",",,0","","","","","127",",,0,03,","130",",,0,03,","6.1",",,0,03,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.7",",,,0","301",",,,0","","","","","","","","","",""
"USC00116344","2003-02","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","10",",0","5",",0","0",",0","20",",0","5",",0","","","","","","","","","","","11","","","","20030216",",,0","20030216",",,0","","","20030215",",,0","","","","","152",",,0,16,","107",",,0,16,","18.3",",,0,15,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.3",",,,0","293",",,,0","","","","","","","","","",""
"USC00116344","2003-03","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","11",",0","6",",0","0",",0","0",",0","0",",0","","","","","","","","","","","15","","","","20030309","+,,0","20030306",",,0","1","","20030313",",,0","","","","","0",",T,0,09,+","15",",,0,06,","25.1",",,0,13,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.1",",,,0","38",",,,0","","","","","","","","","",""
"USC00116344","2003-04","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","10",",0","7",",0","0",",0","0",",0","0",",0","","","","","","","","","","","5","","","","20030430","+,,0","20030409","+,,0","1","","20030425",",,0","","","","","0",",,0,30,+","0",",T,0,09,+","22.6",",,0,25,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.4",",,,0","0",",T,,0","","","","","","","","","",""
"USC00116344","2003-05","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","14",",0","8",",0","1",",0","0",",0","0",",0","","","","","","","","","","","17","","","","20030531","+,,0","20030531","+,,0","10","","20030505",",,0","","","","","0",",,0,31,+","0",",,0,31,+","36.6",",,0,05,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.9",",,,0","0",",,,0","","","","","","","","","",""
"USC00116344","2003-06","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","12",",0","8",",0","0",",0","0",",0","0",",0","","","","","","","","","","","16","","","","20030630",",,0","20030630",",,0","3","","20030614",",,0","","","","","0",",T,0,30,","0",",T,0,30,","13.7",",,0,14,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.4",",,,0","0",",T,,0","","","","","","","","","",""
"USC00116344","2003-07","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","","","","","","","0",",0","0",",0","","","","","","","","","","","12","","","","20030712",",,0","20030712",",,0","9","","","","","","","","0",",T,0,12,","0",",T,0,12,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",",T,,0","","","","","","","","","",""
"USC00116344","2003-08","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","9",",0","5",",0","1",",0","0",",0","0",",0","","","","","","","","","","","21","","","","20030831","+,,0","20030831","+,,0","8","","20030830",",,0","","","","","0",",,0,31,+","0",",,0,31,+","78.5",",,0,30,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","121.8",",,,0","0",",,,0","","","","","","","","","",""
"USC00116344","2003-09","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","12",",0","5",",0","3",",0","0",",0","0",",0","","","","","","","","","","","10","","","","20030930","+,,0","20030930","+,,0","3","","20030901",",,0","","","","","0",",,0,30,+","0",",,0,30,+","89.9",",,0,01,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","198.5",",,,0","0",",,,0","","","","","","","","","",""
"USC00116344","2003-10","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","7",",0","4",",0","0",",0","0",",0","0",",0","","","","","","","","","","","9","","","","20031031","+,,0","20031031","+,,0","1","","20031014",",,0","","","","","0",",,0,31,+","0",",,0,31,+","11.9",",,0,14,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.8",",,,0","0",",,,0","","","","","","","","","",""
"USC00116344","2003-11","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","14",",0","7",",0","2",",0","0",",0","0",",0","","","","","","","","","","","12","","","","20031129","+,,0","20031129",",,0","1","","20031119",",,0","","","","","0",",T,0,29,+","15",",,0,29,","41.1",",,0,19,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","116.6",",,,0","18",",,,0","","","","","","","","","",""
"USC00116344","2003-12","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","12",",0","7",",0","1",",0","7",",0","1",",0","","","","","","","","","","","12","","","","20031219",",,0","20031214",",,0","","","20031229",",,0","","","","","51",",,0,19,","25",",,0,14,","29.0",",,0,29,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.2",",,,0","135",",,,0","","","","","","","","","",""
"USC00116344","2004-01","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","9",",0","4",",0","1",",0","6",",0","4",",0","","","","","","","","","","","8","","","","20040131","+,,0","20040126",",,0","","","20040104",",,0","","","","","76",",,0,31,+","36",",,0,26,","26.9",",,0,04,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.9",",,,0","126",",,,0","","","","","","","","","",""
"USC00116344","2004-03","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","16",",0","8",",0","2",",0","1",",0","1",",0","","","","","","","","","","","16","","","","20040317",",,0","20040317",",,0","1","","20040327",",,0","","","","","25",",,0,17,","51",",,0,17,","51.3",",,0,27,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","149.5",",,,0","69",",,,0","","","","","","","","","",""
"USC00116344","2004-04","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","5",",0","3",",0","0",",0","0",",0","0",",0","","","","","","","","","","","8","","","","20040430","+,,0","20040430","+,,0","","","20040421",",,0","","","","","0",",,0,30,+","0",",,0,30,+","16.5",",,0,21,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.7",",,,0","0",",,,0","","","","","","","","","",""
"USC00116344","2004-05","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","16",",0","12",",0","0",",0","0",",0","0",",0","","","","","","","","","","","16","","","","20040531","+,,0","20040531","+,,0","9","","20040511",",,0","","","","","0",",,0,31,+","0",",,0,31,+","16.5",",,0,11,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.7",",,,0","0",",,,0","","","","","","","","","",""
"USC00116344","2004-06","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","12",",0","4",",0","1",",0","0",",0","0",",0","","","","","","","","","","","18","","","","20040630","+,,0","20040630","+,,0","6","","20040611",",,0","","","","","0",",,0,30,+","0",",,0,30,+","87.1",",,0,11,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","130.6",",,,0","0",",,,0","","","","","","","","","",""
"USC00116344","2004-07","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","11",",0","7",",0","3",",0","0",",0","0",",0","","","","","","","","","","","26","","","","20040706",",,0","20040731","+,,0","9","","20040704",",,0","","","","","0",",T,0,06,","0",",,0,31,+","41.9",",,0,04,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","158.8",",,,0","0",",,,0","","","","","","","","","",""
"USC00116344","2004-08","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","10",",0","6",",0","1",",0","0",",0","0",",0","","","","","","","","","","","18","","","","20040831","+,,0","20040831","+,,0","8","","20040826",",,0","","","","","0",",,0,31,+","0",",,0,31,+","26.4",",,0,26,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.2",",,,0","0",",,,0","","","","","","","","","",""
"USC00116344","2004-09","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","2",",0","1",",0","0",",0","0",",0","0",",0","","","","","","","","","","","11","","","","20040930","+,,0","20040907",",,0","1","","20040915",",,0","","","","","0",",,0,30,+","0",",T,0,07,","12.4",",,0,15,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.7",",,,0","0",",T,,0","","","","","","","","","",""
"USC00116344","2004-10","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","14",",0","8",",0","1",",0","0",",0","0",",0","","","","","","","","","","","11","","","","20041031","+,,0","20041031","+,,0","3","","20041019",",,0","","","","","0",",,0,31,+","0",",,0,31,+","28.2",",,0,19,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","108.9",",,,0","0",",,,0","","","","","","","","","",""
"USC00116344","2004-11","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","17",",0","10",",0","1",",0","2",",0","1",",0","","","","","","","","","","","13","","","","20041125",",,0","20041125",",,0","1","","20041125",",,0","","","","","51",",,0,25,","69",",,0,25,","35.6",",,0,25,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","124.6",",,,0","69",",,,0","","","","","","","","","",""
"USC00116344","2004-12","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","7",",0","4",",0","1",",0","3",",0","1",",0","","","","","","","","","","","8","","","","20041227","+,,0","20041226",",,0","","","20041207",",,0","","","","","51",",,0,27,+","36",",,0,26,","25.7",",,0,07,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.7",",,,0","62",",,,0","","","","","","","","","",""
"USC00116344","2005-01","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","16",",0","11",",0","3",",0","15",",0","4",",0","","","","","","","","","","","15","","","","20050131","+,,0","20050130",",,0","1","","20050112",",,0","","","","","76",",,0,31,+","79",",,0,30,","46.5",",,0,12,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","184.8",",,,0","253",",,,0","","","","","","","","","",""
"USC00116344","2005-02","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","11",",0","4",",0","0",",0","6",",0","0",",0","","","","","","","","","","","17","","","","20050204","+,,0","20050209",",,0","1","","20050214",",,0","","","","","51",",,0,04,+","18",",,0,09,","21.8",",,0,14,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.9",",,,0","41",",,,0","","","","","","","","","",""
"USC00116344","2005-03","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","11",",0","5",",0","0",",0","1",",0","0",",0","","","","","","","","","","","16","","","","20050301",",,0","20050301",",,0","1","","20050325",",,0","","","","","25",",,0,01,","15",",,0,01,","13.5",",,0,25,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.7",",,,0","20",",,,0","","","","","","","","","",""
"USC00116344","2005-04","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","10",",0","8",",0","1",",0","0",",0","0",",0","","","","","","","","","","","13","","","","20050430","+,,0","20050424",",,0","3","","20050421",",,0","","","","","0",",,0,30,+","0",",T,0,24,","40.1",",,0,21,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.7",",,,0","0",",T,,0","","","","","","","","","",""
"USC00116344","2005-05","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","7",",0","3",",0","0",",0","0",",0","0",",0","","","","","","","","","","","12","","","","20050531","+,,0","20050531","+,,0","5","","20050520",",,0","","","","","0",",,0,31,+","0",",,0,31,+","19.1",",,0,20,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.5",",,,0","0",",,,0","","","","","","","","","",""
"USC00116344","2005-06","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","7",",0","2",",0","1",",0","0",",0","0",",0","","","","","","","","","","","21","","","","20050630","+,,0","20050630","+,,0","8","","20050614",",,0","","","","","0",",,0,30,+","0",",,0,30,+","30.0",",,0,14,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.3",",,,0","0",",,,0","","","","","","","","","",""
"USC00116344","2005-07","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","","","","","","","0",",0","0",",0","","","","","","","","","","","17","","","","20050731","+,,0","20050731","+,,0","6","","","","","","","","0",",,0,31,+","0",",,0,31,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",",,,0","","","","","","","","","",""
"USC00116344","2005-08","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","12",",0","6",",0","0",",0","0",",0","0",",0","","","","","","","","","","","22","","","","20050831","+,,0","20050831","+,,0","4","","20050819",",,0","","","","","0",",,0,31,+","0",",,0,31,+","22.6",",,0,19,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59.2",",,,0","0",",,,0","","","","","","","","","",""
"USC00116344","2005-09","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","9",",0","6",",0","1",",0","0",",0","0",",0","","","","","","","","","","","19","","","","20050930","+,,0","20050930","+,,0","4","","20050926",",,0","","","","","0",",,0,30,+","0",",,0,30,+","31.0",",,0,26,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","114.2",",,,0","0",",,,0","","","","","","","","","",""
"USC00116344","2005-10","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","8",",0","3",",0","0",",0","0",",0","0",",0","","","","","","","","","","","11","","","","20051031","+,,0","20051031","+,,0","2","","20051021",",,0","","","","","0",",,0,31,+","0",",,0,31,+","24.1",",,0,21,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.4",",,,0","0",",,,0","","","","","","","","","",""
"USC00116344","2005-11","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","8",",0","7",",0","0",",0","0",",0","0",",0","","","","","","","","","","","9","","","","20051130","+,,0","20051117",",,0","2","","20051101",",,0","","","","","0",",,0,30,+","3",",,0,17,","24.1",",,0,01,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.0",",,,0","3",",,,0","","","","","","","","","",""
"USC00116344","2005-12","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","11",",0","4",",0","0",",0","27",",0","4",",0","","","","","","","","","","","13","","","","20051210","+,,0","20051209",",,0","1","","20051229",",,0","","","","","152",",,0,10,+","119",",,0,09,","10.2",",,0,29,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.5",",,,0","277",",,,0","","","","","","","","","",""
"USC00116344","2006-01","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","9",",0","7",",0","0",",0","0",",0","0",",0","","","","","","","","","","","11","","","","20060119","+,,0","20060118",",,0","1","","20060129",",,0","","","","","0",",T,0,19,+","13",",,0,18,","15.0",",,0,29,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.4",",,,0","16",",,,0","","","","","","","","","",""
"USC00116344","2006-02","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","3",",0","2",",0","0",",0","0",",0","0",",0","","","","","","","","","","","8","","","","20060209",",,0","20060213",",,0","1","","20060216",",,0","","","","","0",",T,0,09,","8",",,0,13,","6.6",",,0,16,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.0",",,,0","8",",,,0","","","","","","","","","",""
"USC00116344","2006-03","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","14",",0","10",",0","1",",0","2",",0","1",",0","","","","","","","","","","","18","","","","20060322",",,0","20060322",",,0","3","","20060312",",,0","","","","","51",",,0,22,","64",",,0,22,","33.0",",,0,12,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","116.8",",,,0","87",",,,0","","","","","","","","","",""
"USC00116344","2006-04","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","10",",0","6",",0","2",",0","0",",0","0",",0","","","","","","","","","","","15","","","","20060430","+,,0","20060419","+,,0","6","","20060417",",,0","","","","","0",",,0,30,+","0",",T,0,19,+","35.6",",,0,17,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","124.8",",,,0","0",",T,,0","","","","","","","","","",""
"USC00116344","2006-05","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","14",",0","9",",0","0",",0","0",",0","0",",0","","","","","","","","","","","22","","","","20060531","+,,0","20060531","+,,0","8","","20060511",",,0","","","","","0",",,0,31,+","0",",,0,31,+","21.1",",,0,11,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.9",",,,0","0",",,,0","","","","","","","","","",""
"USC00116344","2006-06","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","13","3,0","5","3,0","1","3,0","0",",0","0",",0","","","","","","","","","","","23","","","","20060630","+,,0","20060630","+,,0","8","","20060619",",3,0","","","","","0",",,0,30,+","0",",,0,30,+","30.7","3,,0,19,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.7",",a,,0","0",",,,0","","","","","","","","","",""
"USC00116344","2006-07","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","16",",0","10",",0","3",",0","0",",0","0",",0","","","","","","","","","","","30","","","","20060731","+,,0","20060731","+,,0","8","","20060704",",,0","","","","","0",",,0,31,+","0",",,0,31,+","69.9",",,0,04,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","256.9",",,,0","0",",,,0","","","","","","","","","",""
"USC00116344","2006-08","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","15",",0","8",",0","0",",0","0",",0","0",",0","","","","","","","","","","","27","","","","20060831","+,,0","20060831","+,,0","5","","20060828",",,0","","","","","0",",,0,31,+","0",",,0,31,+","24.1",",,0,28,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.2",",,,0","0",",,,0","","","","","","","","","",""
"USC00116344","2006-09","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","14",",0","2",",0","0",",0","0",",0","0",",0","","","","","","","","","","","19","","","","20060930","+,,0","20060930","+,,0","4","","20060918",",,0","","","","","0",",,0,30,+","0",",,0,30,+","12.2",",,0,18,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.2",",,,0","0",",,,0","","","","","","","","","",""
"USC00116344","2006-10","40.1101","-87.9567","205.7","OGDEN, IL US","","","","","","","11",",0","6",",0","1",",0","0",",0","0",",0","","","","","","","","","","","13","","","","20061031","+,,0","20061013",",,0","1","","20061017",",,0","","","","","0",",,0,31,+","0",",T,0,13,","49.8",",,0,17,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101.5",",,,0","0",",T,,0","","","","","","","","","",""
