"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00040176","1951-01","34.5594","-115.7443","200.6","AMBOY, CA US","","","","","4",",0","2",",0","0",",0","","","","","","","","","","","","","","","","","19510111",",,0","","","","","","","8.1",",,0,11,","","","","","","","13.4",",,,0","","","","","","","","","",""
"USC00040176","1951-02","34.5594","-115.7443","200.6","AMBOY, CA US","","","","","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","19510228","+,,0","","","","","","","0.0",",,0,28,+","","","","","","","0.0",",,,0","","","","","","","","","",""
"USC00040176","1951-03","34.5594","-115.7443","200.6","AMBOY, CA US","","","","","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","19510331","+,,0","","","","","","","0.0",",,0,31,+","","","","","","","0.0",",,,0","","","","","","","","","",""
"USC00040176","1951-04","34.5594","-115.7443","200.6","AMBOY, CA US","","","","","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","19510430","+,,0","","","","","","","0.0",",,0,30,+","","","","","","","0.0",",,,0","","","","","","","","","",""
"USC00040176","1951-05","34.5594","-115.7443","200.6","AMBOY, CA US","","","","","1",",0","1",",0","0",",0","","","","","","","","","","","","","","","","","19510514",",,0","","","","","","","5.8",",,0,14,","","","","","","","5.8",",,,0","","","","","","","","","",""
"USC00040176","1951-06","34.5594","-115.7443","200.6","AMBOY, CA US","","","","","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","19510630","+,,0","","","","","","","0.0",",,0,30,+","","","","","","","0.0",",,,0","","","","","","","","","",""
"USC00040176","1951-07","34.5594","-115.7443","200.6","AMBOY, CA US","","","","","1",",0","1",",0","0",",0","","","","","","","","","","","","","","","","","19510722",",,0","","","","","","","2.5",",,0,22,","","","","","","","2.5",",,,0","","","","","","","","","",""
"USC00040176","1951-08","34.5594","-115.7443","200.6","AMBOY, CA US","","","","","3",",0","3",",0","0",",0","","","","","","","","","","","","","","","","","19510820",",,0","","","","","","","11.2",",,0,20,","","","","","","","23.1",",,,0","","","","","","","","","",""
"USC00040176","1951-09","34.5594","-115.7443","200.6","AMBOY, CA US","","","","","1",",0","1",",0","0",",0","","","","","","","","","","","","","","","","","19510928",",,0","","","","","","","8.4",",,0,28,","","","","","","","8.4",",,,0","","","","","","","","","",""
"USC00040176","2010-02","34.5594","-115.7443","200.6","AMBOY, CA US","","","0.0",",0","4",",0","3",",0","0",",0","","","0",",0","0",",0","0",",0","12",",0","0",",0","20100224",",,0","","","20100210",",,0","20100218","+,,0","3.3",",0,24,","","","12.2",",,0,10,","25.6",",0,18,+","","","123.6",",0","20.6",",,,0","","","13.92",",0","20.61",",,,0","7.22",",,,0","",""
"USC00040176","2010-03","34.5594","-115.7443","200.6","AMBOY, CA US","","","9.0","1,0","1",",0","1",",0","0",",0","","","0","1,0","0","1,0","0","1,0","21","1,0","1","1,0","20100313",",1,0","","","20100308",",,0","20100331",",1,0","3.9","1,0,13,","","","15.7",",,0,08,","32.2","1,0,31,","","","84.7","1,0","15.7",",,,0","","","15.81","1,0","23.01","1,,,0","8.61","1,,,0","",""
"USC00040176","2010-04","34.5594","-115.7443","200.6","AMBOY, CA US","","","70.3",",0","0",",0","0",",0","0",",0","","","0",",0","0",",0","0",",0","29",",0","10",",0","20100424","+,,0","","","20100430","+,,0","20100428",",,0","7.2",",0,24,+","","","0.0",",,0,30,+","36.7",",0,28,","","","25.3",",0","0.0",",,,0","","","19.83",",0","28.15",",,,0","11.51",",,,0","",""
"USC00040176","2010-05","34.5594","-115.7443","200.6","AMBOY, CA US","","","140.1","3,0","0",",0","0",",0","0",",0","","","0",",0","0",",0","0","3,0","28","3,0","14","3,0","20100524",",,0","","","20100531","+,,0","20100531","+,3,0","5.0",",0,24,","","","0.0",",,0,31,+","37.8","3,0,31,+","","","0.8","3,0","0.0",",,,0","","","23.31","3,0","32.53","3,,,0","14.09",",,,0","",""
"USC00040176","2010-06","34.5594","-115.7443","200.6","AMBOY, CA US","","","","","0",",0","0",",0","0",",0","","","","","","","0",",0","30",",0","30",",0","","","","","20100630","+,,0","20100629",",,0","","","","","0.0",",,0,30,+","45.0",",0,29,","","","","","0.0",",,,0","","","","","40.70",",,,0","","","",""
"USC00040176","2010-07","34.5594","-115.7443","200.6","AMBOY, CA US","","","","","0",",0","0",",0","0",",0","","","","","","","0","3,0","28","3,0","28","3,0","","","","","20100731","+,,0","20100721","+,3,0","","","","","0.0",",,0,31,+","47.2","3,0,21,+","","","","","0.0",",,,0","","","","","44.65","3,,,0","","","",""
"USC00040176","2010-08","34.5594","-115.7443","200.6","AMBOY, CA US","","","493.7",",0","0",",0","0",",0","0",",0","","","0",",0","0",",0","0",",0","31",",0","31",",0","20100830",",,0","","","20100831","+,,0","20100825",",,0","19.4",",0,30,","","","0.0",",,0,31,+","46.1",",0,25,","","","0.0",",0","0.0",",,,0","","","34.26",",0","42.23",",,,0","26.29",",,,0","",""
"USC00040176","2010-09","34.5594","-115.7443","200.6","AMBOY, CA US","","","293.5","4,0","0",",0","0",",0","0",",0","","","0","4,0","0","4,0","0","3,0","27","3,0","26","3,0","20100919",",4,0","","","20100930","+,,0","20100906","+,3,0","16.1","4,0,19,","","","0.0",",,0,30,+","45.6","3,0,06,+","","","0.0","3,0","0.0",",,,0","","","29.67","4,0","39.68","3,,,0","19.67","4,,,0","",""
"USC00040176","2010-10","34.5594","-115.7443","200.6","AMBOY, CA US","","","162.3",",0","2",",0","2",",0","0",",0","","","0",",0","0",",0","0",",0","31",",0","15",",0","20101028",",,0","","","20101021",",,0","20101001",",,0","7.8",",0,28,","","","6.9",",,0,21,","41.7",",0,01,","","","2.5",",0","13.5",",,,0","","","23.49",",0","31.16",",,,0","15.81",",,,0","",""
"USC00040176","2010-11","34.5594","-115.7443","200.6","AMBOY, CA US","","","26.9","1,0","0",",0","0",",0","0",",0","","","0","1,0","3","1,0","0","1,0","20","1,0","3","1,0","20101130",",1,0","","","20101130","+,,0","20101105","+,1,0","-5.0","1,0,30,","","","0.0",",,0,30,+","33.9","1,0,05,+","","","107.2","1,0","0.0",",,,0","","","15.56","1,0","23.98","1,,,0","7.14","1,,,0","",""
"USC00040176","2010-12","34.5594","-115.7443","200.6","AMBOY, CA US","","","0.0","4,0","5","2,0","3","2,0","0","2,0","","","0","1,0","4","1,0","0","4,0","14","4,0","0","4,0","20101204",",1,0","","","20101222",",2,0","20101213",",4,0","-2.2","1,0,04,","","","20.3","2,,0,22,","26.7","4,0,13,","","","153.5","4,0","45.0",",a,,0","","","12.71","4,0","19.98","4,,,0","5.43","1,,,0","",""
"USC00040176","2011-01","34.5594","-115.7443","200.6","AMBOY, CA US","0.8","7","0.8","4,7","0","2,7","0","2,7","0","2,7","","","0","2,7","3","2,7","0","4,7","15","4,7","0","4,7","20110101",",2,7","","","20110131","+,2,7","20110119","+,4,7","-2.8","2,7,01,","","","0.0","2,,7,31,+","27.2","4,7,19,+","","","179.4","4,7","0.0","2,,,7","","","11.83","4,7","19.91","4,,,7","3.74","2,,,7","16.5","4,7"
"USC00040176","2011-02","34.5594","-115.7443","200.6","AMBOY, CA US","0.8","7","0.0","2,7","2","1,7","1","1,7","0","1,7","","","0","2,7","4","2,7","0","2,7","10","2,7","0","2,7","20110203",",2,7","","","20110219",",1,7","20110207",",2,7","-4.4","2,7,03,","","","3.0","1,,7,19,","25.6","2,7,07,","","","155.0","2,7","3.5","1,,,7","","","12.37","2,7","20.42","2,,,7","4.33","2,,,7","17.9","3,7"
"USC00040176","2011-03","34.5594","-115.7443","200.6","AMBOY, CA US","37.3","7","36.5","2,7","0","1,7","0","1,7","0","1,7","","","0","1,7","0","1,7","0","2,7","25","2,7","1","2,7","20110323",",1,7","","","20110321",",1,7","20110331",",2,7","6.1","1,7,23,","","","0.0","1,T,7,21,","32.2","2,7,31,","","","41.6","2,7","0.0","1,T,,7","","","18.16","2,7","25.79","2,,,7","10.54","1,,,7","23.2","3,7"
"USC00040176","2011-04","34.5594","-115.7443","200.6","AMBOY, CA US","","","","","1","3,7","0","3,7","0","3,7","","","","","","","","","","","","","","","","","20110407",",3,7","","","","","","","1.0","3,,7,07,","","","","","","","1.0","3,,,7","","","","","","","","","17.4","4,7"
"USC00040176","2011-05","34.5594","-115.7443","200.6","AMBOY, CA US","","","222.1","3,7","0","1,7","0","1,7","0","1,7","","","0","1,7","0","1,7","0","3,7","28","3,7","18","3,7","20110503",",1,7","","","20110531","+,1,7","20110529","+,3,7","12.2","1,7,03,","","","0.0","1,,7,31,+","40.0","3,7,29,+","","","0.0","3,7","0.0","1,,,7","","","26.14","3,7","33.86","3,,,7","18.41","1,,,7","17.9","2,7"
"USC00040176","2011-06","34.5594","-115.7443","200.6","AMBOY, CA US","","","394.0","2,7","0","2,7","0","2,7","0","2,7","","","0","2,7","0","2,7","0","2,7","28","2,7","28","2,7","20110601",",2,7","","","20110630","+,2,7","20110625","+,2,7","14.4","2,7,01,","","","0.0","2,,7,30,+","47.2","2,7,25,+","","","0.0","2,7","0.0","2,,,7","","","32.40","2,7","40.46","2,,,7","24.35","2,,,7","20.1","2,7"
"USC00040176","2011-07","34.5594","-115.7443","200.6","AMBOY, CA US","","","506.0","2,7","2","1,7","1","1,7","0","1,7","","","0","1,7","0","1,7","0","2,7","29","2,7","29","2,7","20110718",",1,7","","","20110709",",1,7","20110703",",2,7","23.9","1,7,18,","","","5.6","1,,7,09,","47.2","2,7,03,","0.0","7","0.0","2,7","6.4","1,,,7","","","35.75","2,7","43.24","2,,,7","28.25","1,,,7","21.0","3,7"
"USC00040176","2011-08","34.5594","-115.7443","200.6","AMBOY, CA US","","","504.8","3,7","","","","","","","","","0","3,7","0","3,7","0","3,7","28","3,7","28","3,7","20110811",",3,7","","","","","20110826","+,3,7","23.9","3,7,11,","","","","","47.8","3,7,26,+","0.0","7","0.0","3,7","","","","","36.36","3,7","44.36","3,,,7","28.36","3,,,7","19.7","2,7"
"USC00040176","2011-09","34.5594","-115.7443","200.6","AMBOY, CA US","","","","","3",",7","2",",7","0",",7","","","","","","","","","","","","","","","","","20110911",",,7","","","","","","","10.7",",,7,11,","","","","","","","13.5",",,,7","","","","","","","","","17.9","1,7"
"USC00040176","2011-10","34.5594","-115.7443","200.6","AMBOY, CA US","","","194.4","1,7","0","1,7","0","1,7","0","1,7","","","0","1,7","0","1,7","0","1,7","30","1,7","18","1,7","20111028",",1,7","","","20111031","+,1,7","20111001",",1,7","8.3","1,7,28,","","","0.0","1,,7,31,+","40.6","1,7,01,","","","1.6","1,7","0.0","1,,,7","","","24.76","1,7","33.54","1,,,7","15.98","1,,,7","17.9","1,7"
"USC00040176","2011-11","34.5594","-115.7443","200.6","AMBOY, CA US","","","5.8","1,7","2","1,7","0","1,7","0","1,7","","","0","1,7","0","1,7","0","1,7","20","1,7","1","1,7","20111109",",1,7","","","20111105",",1,7","20111101",",1,7","2.2","1,7,09,","","","1.3","1,,7,05,","32.2","1,7,01,","","","100.8","1,7","1.6","1,,,7","","","15.06","1,7","23.01","1,,,7","7.11","1,,,7","16.1","2,7"
"USC00040176","2012-01","34.5594","-115.7443","200.6","AMBOY, CA US","0.0","7","0.0","5,7","1","4,7","0","4,7","0","4,7","","","0","4,7","1","4,7","0","5,7","15","5,7","0","5,7","20120111",",4,7","","","20120124",",4,7","20120130","+,5,7","-0.6","4,7,11,","","","0.5","4,,7,24,","27.2","5,7,30,+","","","141.8","5,7","0.5","4,,,7","","","12.83","5,7","22.04","5,,,7","3.62","4,,,7","",""
"USC00040176","2012-02","34.5594","-115.7443","200.6","AMBOY, CA US","3.9","7","3.9","1,7","1","1,7","0","1,7","0","1,7","","","0","1,7","0","1,7","0","1,7","21","1,7","0","1,7","20120222","+,1,7","","","20120228",",1,7","20120224",",1,7","2.2","1,7,22,+","","","1.0","1,,7,28,","30.0","1,7,24,","","","101.4","1,7","1.0","1,,,7","","","14.85","1,7","23.18","1,,,7","6.53","1,,,7","26.4","3,7"
"USC00040176","2012-03","34.5594","-115.7443","200.6","AMBOY, CA US","30.0","7","26.1",",7","1",",7","0",",7","0",",7","","","0",",7","0",",7","0",",7","27",",7","1",",7","20120303",",,7","","","20120318",",,7","20120331",",,7","1.1",",7,03,","","","0.3",",,7,18,","32.2",",7,31,","","","56.0",",7","0.3",",,,7","","","17.37",",7","26.55",",,,7","8.19",",,,7","24.1","1,7"
"USC00040176","2012-04","34.5594","-115.7443","200.6","AMBOY, CA US","166.3","7","136.3","1,7","1","1,7","1","1,7","0","1,7","","","0","1,7","0","1,7","0","1,7","28","1,7","14","1,7","20120408",",1,7","","","20120426",",1,7","20120423",",1,7","6.7","1,7,08,","","","7.6","1,,7,26,","41.7","1,7,23,","","","7.5","1,7","7.6","1,,,7","","","22.78","1,7","31.71","1,,,7","13.84","1,,,7","23.2","3,7"
"USC00040176","2012-05","34.5594","-115.7443","200.6","AMBOY, CA US","","","","","0",",7","0",",7","0",",7","","","","","","","","","","","","","","","","","20120531","+,,7","","","","","","","0.0",",,7,31,+","","","","","","","0.0",",,,7","","","","","","","","","",""
"USC00040176","2012-06","34.5594","-115.7443","200.6","AMBOY, CA US","","","393.2","3,7","0","3,7","0","3,7","0","3,7","","","0","3,7","0","3,7","0","3,7","27","3,7","27","3,7","20120611","+,3,7","","","20120630","+,3,7","20120603","+,3,7","19.4","3,7,11,+","","","0.0","3,,7,30,+","46.1","3,7,03,+","","","0.0","3,7","0.0","3,,,7","","","32.90","3,7","42.08","3,,,7","23.71","3,,,7","17.9","5,7"
"USC00040176","2012-09","34.5594","-115.7443","200.6","AMBOY, CA US","","","367.6","3,7","0","3,7","0","3,7","0","3,7","","","0","3,7","0","3,7","0","3,7","27","3,7","27","3,7","20120918",",3,7","","","20120904",",3,7","20120910","+,3,7","19.4","3,7,18,","","","0.0","3,T,7,04,","42.8","3,7,10,+","","","0.0","3,7","0.0","3,T,,7","","","31.95","3,7","40.23","3,,,7","23.67","3,,,7","15.6","5,7"
"USC00040176","2012-10","34.5594","-115.7443","200.6","AMBOY, CA US","","","180.0","4,7","2","3,7","1","3,7","0","3,7","","","0","3,7","0","3,7","0","4,7","27","4,7","20","4,7","20121027",",3,7","","","20121011",",3,7","20121003",",4,7","8.9","3,7,27,","","","3.3","3,,7,11,","42.8","4,7,03,","","","0.3","4,7","3.8","3,,,7","","","24.96","4,7","34.24","4,,,7","15.67","3,,,7","",""
"USC00040176","2012-11","34.5594","-115.7443","200.6","AMBOY, CA US","","","26.4","4,7","0","4,7","0","4,7","0","4,7","","","0","4,7","0","4,7","0","4,7","22","4,7","4","4,7","20121113",",4,7","","","20121130","+,4,7","20121107",",4,7","1.1","4,7,13,","","","0.0","4,,7,30,+","34.4","4,7,07,","","","48.6","4,7","0.0","4,,,7","","","17.48","4,7","26.63","4,,,7","8.33","4,,,7","",""
"USC00040176","2012-12","34.5594","-115.7443","200.6","AMBOY, CA US","","","0.3","2,7","2","2,7","2","2,7","0","2,7","","","0","2,7","3","2,7","0","2,7","12","2,7","0","2,7","20121229","+,2,7","","","20121214",",2,7","20121207","+,2,7","-0.6","2,7,29,+","","","17.8","2,,7,14,","25.6","2,7,07,+","","","170.4","2,7","24.2","2,,,7","","","12.47","2,7","19.73","2,,,7","5.20","2,,,7","",""
"USC00040176","2013-01","34.5594","-115.7443","200.6","AMBOY, CA US","0.0","7","0.0","4,7","2","1,7","1","1,7","0","1,7","","","0","4,7","13","4,7","0","2,7","7","2,7","0","2,7","20130115",",4,7","","","20130126",",1,7","20130123",",2,7","-13.3","4,7,15,","","","10.2","1,,7,26,","24.4","2,7,23,","","","248.8","2,7","10.5","1,,,7","","","9.18","4,7","17.83","2,,,7","0.52","4,,,7","15.2","4,7"
"USC00040176","2013-02","34.5594","-115.7443","200.6","AMBOY, CA US","0.0","7","0.0","2,7","0","2,7","0","2,7","0","2,7","","","0","2,7","7","2,7","0","2,7","15","2,7","0","2,7","20130224","+,2,7","","","20130203",",2,7","20130218",",2,7","-1.1","2,7,24,+","","","0.0","2,T,7,03,","26.7","2,7,18,","","","167.5","2,7","0.0","2,T,,7","","","11.89","2,7","20.93","2,,,7","2.85","2,,,7","",""
"USC00040176","2013-03","34.5594","-115.7443","200.6","AMBOY, CA US","83.1","7","83.1","1,7","1","1,7","1","1,7","0","1,7","","","0","1,7","0","1,7","0","1,7","27","1,7","5","1,7","20130311",",1,7","","","20130308",",1,7","20130317","+,1,7","0.6","1,7,11,","","","6.4","1,,7,08,","34.4","1,7,17,+","","","35.6","1,7","6.4","1,,,7","","","19.92","1,7","28.69","1,,,7","11.14","1,,,7","15.2","4,7"
"USC00040176","2013-04","34.5594","-115.7443","200.6","AMBOY, CA US","","","","","0","4,7","0","4,7","0","4,7","","","","","","","0","4,7","26","4,7","16","4,7","","","","","20130430","+,4,7","20130430",",4,7","","","","","0.0","4,,7,30,+","41.1","4,7,30,","","","","","0.0","4,,,7","","","","","32.50","4,,,7","","","",""
"USC00040176","2013-05","34.5594","-115.7443","200.6","AMBOY, CA US","","","","","0","3,7","0","3,7","0","3,7","","","","","","","0","4,7","27","4,7","22","4,7","","","","","20130531","+,3,7","20130515","+,4,7","","","","","0.0","3,,7,31,+","42.8","4,7,15,+","","","","","0.0","3,,,7","","","","","36.42","4,,,7","","","",""
"USC00040176","2013-06","34.5594","-115.7443","200.6","AMBOY, CA US","","","396.9","4,7","0","3,7","0","3,7","0","3,7","","","0","4,7","0","4,7","0","3,7","27","3,7","27","3,7","20130614",",4,7","","","20130630","+,3,7","20130630",",3,7","17.2","4,7,14,","","","0.0","3,,7,30,+","50.0","3,7,30,","","","0.0","3,7","0.0","3,,,7","","","33.62","4,7","43.04","3,,,7","24.19","4,,,7","",""
"USC00040176","2013-07","34.5594","-115.7443","200.6","AMBOY, CA US","","","495.8","5,7","2","4,7","0","4,7","0","4,7","","","0","5,7","0","5,7","0","4,7","27","4,7","27","4,7","20130723","+,5,7","","","20130712",",4,7","20130702","+,4,7","25.6","5,7,23,+","","","1.5","4,,7,12,","50.6","4,7,02,+","0.0","7","0.0","4,7","2.0","4,,,7","","","37.39","5,7","44.07","4,,,7","30.70","5,,,7","",""
"USC00040176","2013-08","34.5594","-115.7443","200.6","AMBOY, CA US","","","459.2","1,7","3","1,7","1","1,7","0","1,7","","","0","1,7","0","1,7","0","1,7","30","1,7","28","1,7","20130803",",1,7","","","20130827",",1,7","20130818",",1,7","18.3","1,7,03,","","","9.4","1,,7,27,","46.1","1,7,18,","0.0","7","0.0","1,7","10.7","1,,,7","","","33.64","1,7","41.46","1,,,7","25.82","1,,,7","",""
"USC00040176","2013-09","34.5594","-115.7443","200.6","AMBOY, CA US","","","355.8","2,7","3","1,7","1","1,7","0","1,7","","","0","1,7","0","1,7","0","2,7","28","2,7","27","2,7","20130929",",1,7","","","20130910",",1,7","20130907",",2,7","13.3","1,7,29,","","","6.4","1,,7,10,","43.9","2,7,07,","0.0","7","0.0","2,7","8.2","1,,,7","","","31.05","2,7","39.19","2,,,7","22.91","1,,,7","",""
"USC00040176","2013-10","34.5594","-115.7443","200.6","AMBOY, CA US","","","96.7","1,7","1",",7","0",",7","0",",7","","","0",",7","0",",7","0","1,7","30","1,7","16","1,7","20131017",",,7","","","20131010",",,7","20131002","+,1,7","5.0",",7,17,","","","0.8",",,7,10,","36.1","1,7,02,+","10.4","7","10.4","1,7","0.8",",,,7","","","21.11","1,7","30.83","1,,,7","11.38",",,,7","",""
